옥수수수염차	340	0	30	0	0	0	0	0	0	0				8801056073985	2	-1								
밀키스	250	130	16	31	31	0	0	0	0	1g 미만				8801056154011	2	-1								
칠성사이다	250	110	6	28	27	0	0	0	0	0				8801056170028	2	-1								
펩시 제로슈거 라임향	355	0	95	0	0	0	0	0	0	0				8801056175400	2	-1								
펩시 제로슈거 라임향	500	0	135	0	0	0	0	0	0	0				8801056175955	2	-1								
밀키스	1.5L	750	105	180	180	0	0	0	0	0				8801056201012	2	-1								
밀키스	500	250	33	62	62	0	0	0	0	1				8801056755010	2	-1								
게토레이 레몬	600	160	300	40	39	0	0	0	0	0				8801056839017	2	-1								
꼬깔콘 고소한맛	67	385	300	39	3.4	24	0	7.8	0	3.4												8801062383252	1	-1
씨리얼 초코	42	217	140	25	16	12	0	8	5mg미만	3		44.1									1.26	8801062518159	1	-1
칸쵸	54	260	55	36	7	1	0.2	7	2	3.5												8801062518210	1	-1
ABC초코쿠키	50	265	115	30	17	15	0	8	5	3.4												8801062893539	1	-1
짜짜로니 큰컵	115	445	1030	72	6	0	12	0	5	12		8801073142473	0	-1										
간짬뽕 큰컵	105	415	1000	59	8	8	16	0	7	9		8801073210233	0	-1										
4가지 치즈 불닭볶음면	110	445	1550	67	9	4.9	15	0	7	11		8801073210967	0	-1										
불닭볶음면	105	425	950	63	8	0	15	0	8	9		8801073210967	0	-1										
치즈 불닭볶음면	105	430	1000	63	5	0	16	0	8	9		8801073210967	0	-1										
삼양라면	110	470	1800	75	4	0	15	0	8	9		8801073211377	0	-1										
로제 불닭볶음면	105	420	910	68	9	10	13	0	7	8		8801073211469	0	-1										
크림까르보 불닭볶음면	120	480	1270	72	10	5	17	0	9			8801073211469	0	-1										
짜장 불닭볶음면	105	440	1200	70	5	0	14	0	7	8		8801073211568	0	-1										
까르보 불닭볶음면	105	470	1190	63	7	0	21	0	11	7		8801073212459	0	-1										
홈런볼 커스타드크림	46	255	100	25	15	16	0	6	35	3												8801091316593	1	-1
코카콜라	190	80	6	20	20	0	0	0	0	0				8801094017101	2	-1								
닥터페퍼	500	212	19	53	53	0	0	0	0	0				8801094053208	2	-1								
환타	190	36	6	9	9	0	0	0	0	0				8801094112400	2	-1								
스프라이트	190	84	18	21	21	0	0	0	0	0				8801094208004	2	-1								
토레타	500	83	291	20	20	0	0	0	0	0.8				8801094412906	2	-1								
스프라이트 제로	500	0	3	0.2	0	0	0	0	0	0				8801094962104	2	-1								
포카리스웨트	240	60	120	15	15	0	0	0	0	0				8801097150010	2	-1								
포카리스웨트	500	125	250	31	30	0	0	0	0	0				8801097150034	2	-1								
나랑드 사이다 제로	500	0	90	0	0	0	0	0	0	0				8801097235014	2	-1								
나랑드 사이다 제로	1.5L	0	20	0	0	0	0	0	0	0				8801097235212	2	-1								
과일촌 아침에 사과	500	224	40	56	50	0	0	0	0	0				8801105909036	2	-1								
해태 포도봉봉	340	180	60	45	44	0	0	0	0	0				8801105911299	2	-1								
갈아만든배	238	116	5	29	28	0	0	0	0	0				8801105915709	2	-1								
해태 복숭아봉봉	340	188	30	46	46	0	0	0	0	0				8801105915761	2	-1								
콘치	52	279	110	33	13	15	0.3	9	0	3												8801111183062	1	-1
못말리는 신짱	120	528	290	64	22	28	0	9	5	5												8801111185066	1	-1
콘초 가나슈	66	346	55	42	17	18	0	11	5	4												8801111186209	1	-1
카라멜콘 땅콩	72	380	120	46	21	20	0	6	0	4												8801111186834	1	-1
죠리퐁	50	225	85	38	15	7	0	2.9	0	4			71	0.12	0.14	0.15	10	1	40	1.5	3	8801111610643	1	-1
콘칲	44	230	230	28	1	12	0	4	0	2		46.2										8801111611312	1	-1
꽃게랑	70	380	490	43	4	21	0	7	4.4	4.5												8801111770132	1	-1
메이플콘	74	382	210	51	4	19	0	7	5	3	3											8801111904308	1	-1
츄러스	84	453	310	53	20	25	0	8	0	4												8801111916523	1	-1
초코송이	36	190	80	23	15	10	0	6	0	2												8801117446901	1	-1
꼬북칩 초코츄러스맛	80		200	52	24	22	0	14	5mg미만	5												8801117694807	1	-1
오!감자 감자그라탕맛	50	272	280	30	1g미만	16	0	6	0	2												8801117752804	1	-1
포카칩 오리지널	66	377	250	34	1g미만	25	0	10	0	4												8801117760106	1	-1
포카칩 어니언맛	66	377	210	34	2	25	0	10	0	4												8801117760304	1	-1
스윙칩 볶음고추장맛	60	352	280	31	2	24	0	9	0	3												8801117775001	1	-1
꼬북칩 콘스프맛	65	375	450	39	5	23	0	9	0	3												8801117784409	1	-1
김치 왕뚜껑	110	470	1790	71	4	0	17	0	9	8		8801128503235	0	-1										
왕뚜껑	110	475	1690	71	4	0	17	0	9	9		8801128503235	0	-1										
가쓰오 우동 왕뚜껑	110	475	1690	71	4	5	17	0	9	9		8801128503273	0	-1										
짬뽕 왕뚜껑	110	475	1690	71	4	5	17	0	9	9		8801128503488	0	-1										
해물왕컵	110	470	1620	73	4	9	15	0	7	11		8801128504287	0	-1										
틈새라면 매운김치 컵	105	450	1670	72	3	0	14	0	7	9		8801128508865	0	-1										
팔도 비락식혜	500	165	15	40	35	0	0	0	0	0				8801128900201	2	-1								
밀키스	340	170	22	42	42	0	0	0	0	1				8801223007478	2	-1								
아침햇살	500	300	25	60	35	6.4	0	6.3	0	1g 미만				8801382124528	2	-1								
초록매실	500	270	25	65	55	0.9	0	0.9	0	0				8801382126515	2	-1								
자연은 알로에	500	195	40	49	45	0	0	0	0	0				8801382127734	2	-1								
자연은 제주감귤 주스	500	255	25	60	51	1	0	0.6	0	1g 미만		40		8801382127963	2	-1								
하늘보리	500	0	30	1	0	0	0	0	0	0				8801382131038	2	-1								
웅진 빅토리아 탄산수 플레인	500	0	0	0	0	0	0	0	0	0				8801382145547	2	-1								
웅진 빅토리아 청포도 스파클링	500	0	0	0	0	0	0	0	0	0				8801382147060	2	-1								
속초홍게라면	115	500	1680	72	4	4	19	0	8	10		8809296883074	0	-1										
링티제로 복숭아맛	500	160	13	0	0	0	0	0	0	0			13	8809626920295	2	-1								
팔도 비빔면	115	465	1190	68	14	0	18	0	9	8		8809695251344	0	-1										
OKF 샤인머스켓 	500	280	10	68	62	1	0	0	0	0				8809713910185	2	-1								
매운새우깡	90	455	650	56	7	23	0	7	5mg미만	6		149										8801043026321?	1	-1
새우깡	90	465	610	54	5	25	0.5g미만	8	5mg미만	6		85										8801043036030?	1	-1
고구마깡	83	415	370	58	17	19	0	6	0	3.4												8801043036092?	1	-1
닭다리 후라이드 치킨맛	66	330	170	21	1	9	0	2.6	0	2												8801043036535?	1	-1
닭다리 핫숯불바베큐	66	330	410	42	4	17	0	5	0	4												8801043036559?	1	-1
레드불	250	112	200	28	27	0	0	0	0	0	1000			9002490207274?	2	-1								
